cid  1   11 / 32 = 34.4 %
cid  2   22 / 32 = 68.8 %
cid  3   15 / 32 = 46.9 %
cid  4   15 / 32 = 46.9 %
cid  5   3 / 32 = 9.4 %
cid  6   12 / 32 = 37.5 %
cid  7   12 / 32 = 37.5 %
cid  8   20 / 32 = 62.5 %
cid  9   7 / 32 = 21.9 %
cid 10   15 / 32 = 46.9 %
cid 11   14 / 32 = 43.8 %
cid 12   16 / 32 = 50.0 %
cid 13   9 / 32 = 28.1 %
cid 14   9 / 32 = 28.1 %
cid 15   28 / 32 = 87.5 %
cid 16   22 / 32 = 68.8 %
cid 17   21 / 32 = 65.6 %
cid 18   5 / 32 = 15.6 %
cid 19   26 / 32 = 81.2 %
cid 20   15 / 32 = 46.9 %
cid 21   3 / 32 = 9.4 %
cid 22   21 / 32 = 65.6 %
cid 23   25 / 32 = 78.1 %
cid 24   2 / 32 = 6.2 %
cid 25   25 / 32 = 78.1 %
cid 26   21 / 32 = 65.6 %
Total:  394 / 832 = 47.36 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
  1  34.4   6.2   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0  40.6   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  2   0.0  68.8   0.0   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1  15.6   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   3.1   0.0
  3   0.0   0.0  46.9   0.0   0.0   0.0  25.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   9.4   0.0   9.4   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   3.1
  4   0.0  18.8   0.0  46.9   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2  25.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  5   3.1   0.0   6.2   0.0   9.4   6.2   9.4   0.0   0.0   0.0   6.2   0.0   0.0   0.0  28.1  15.6   0.0   0.0   0.0  12.5   0.0   0.0   0.0   3.1   0.0   0.0
  6   3.1   0.0   0.0   0.0   0.0  37.5   6.2   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1  28.1   0.0   0.0   0.0  18.8   0.0   0.0   0.0   0.0   0.0   0.0
  7   0.0   0.0   6.2   0.0   0.0   0.0  37.5   0.0   0.0   3.1   0.0   0.0   0.0   0.0  18.8   6.2  12.5   6.2   0.0   0.0   6.2   0.0   3.1   0.0   0.0   0.0
  8   0.0   3.1   0.0   0.0   0.0   3.1   0.0  62.5   0.0   0.0   6.2   0.0   3.1   0.0   6.2   9.4   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0
  9   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0  21.9   3.1   3.1   6.2   0.0   0.0  15.6   0.0   3.1   0.0   9.4  12.5   0.0   0.0   0.0   6.2   6.2   0.0
 10   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  46.9   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0  31.2   6.2   0.0   0.0   0.0   3.1   3.1   6.2
 11   3.1   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0  43.8   0.0   0.0   0.0   3.1   3.1  21.9   9.4   0.0   3.1   0.0   0.0   0.0   0.0   3.1   0.0
