cid  1   8 / 32 = 25.0 %
cid  2   20 / 32 = 62.5 %
cid  3   24 / 32 = 75.0 %
cid  4   23 / 32 = 71.9 %
cid  5   11 / 32 = 34.4 %
cid  6   4 / 32 = 12.5 %
cid  7   5 / 32 = 15.6 %
cid  8   15 / 32 = 46.9 %
cid  9   3 / 32 = 9.4 %
cid 10   5 / 32 = 15.6 %
cid 11   13 / 32 = 40.6 %
cid 12   23 / 32 = 71.9 %
cid 13   28 / 32 = 87.5 %
cid 14   18 / 32 = 56.2 %
cid 15   27 / 32 = 84.4 %
cid 16   30 / 32 = 93.8 %
cid 17   11 / 32 = 34.4 %
cid 18   25 / 32 = 78.1 %
cid 19   27 / 32 = 84.4 %
cid 20   6 / 32 = 18.8 %
cid 21   12 / 32 = 37.5 %
cid 22   19 / 32 = 59.4 %
cid 23   25 / 32 = 78.1 %
cid 24   19 / 32 = 59.4 %
cid 25   16 / 32 = 50.0 %
cid 26   6 / 32 = 18.8 %
Total:  423 / 832 = 50.84 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
  1  25.0   0.0   0.0   0.0   0.0   3.1   0.0  40.6   6.2   0.0   0.0   0.0   0.0   6.2   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1
  2   0.0  62.5   0.0  34.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  3   0.0   3.1  75.0   0.0   0.0   0.0   6.2   0.0   3.1   0.0   0.0   3.1   0.0   3.1   3.1   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  4   0.0   6.2   0.0  71.9   0.0   3.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   6.2   9.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  5   0.0   6.2   0.0   0.0  34.4   3.1   0.0   0.0  25.0   0.0   0.0   3.1   0.0   0.0   6.2   6.2   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  6   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0   6.2   0.0   0.0   0.0   6.2   0.0   3.1  59.4   0.0  12.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  7   0.0   0.0  15.6   0.0   3.1   0.0  15.6   0.0   0.0   0.0   3.1   0.0   3.1  18.8  15.6   0.0   9.4   0.0   3.1   0.0  12.5   0.0   0.0   0.0   0.0   0.0
  8   0.0   0.0   0.0   0.0   3.1   3.1   0.0  46.9   0.0   0.0   0.0   0.0  15.6  18.8   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   3.1
  9   0.0   0.0   3.1   6.2   0.0   6.2   0.0   0.0   9.4   6.2   3.1  18.8   0.0   0.0   3.1   6.2   0.0  21.9   0.0   0.0   0.0   3.1   0.0   0.0   0.0  12.5
 10   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0  25.0  15.6   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0  34.4  12.5   0.0   0.0   0.0   3.1   0.0   0.0
 11   0.0   3.1   0.0   0.0   3.1  25.0   0.0   9.4   0.0   0.0  40.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  18.8   0.0   0.0   0.0   0.0   0.0
 12   0.0   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  71.9   6.2   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 13   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1   0.0   0.0   0.0  87.5   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 14   0.0   0.0   0.0   0.0   6.2   0.0   0.0   3.1   0.0   0.0   0.0   0.0  12.5  56.2   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0  18.8   0.0   0.0   0.0
 15   0.0   3.1   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  84.4   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0
 16   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0  93.8   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 17   3.1   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0  31.2   0.0   0.0   3.1   6.2   0.0  34.4   0.0   0.0   0.0  18.8   0.0   0.0   0.0   0.0   0.0
 18   0.0   3.1   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   3.1   0.0   6.2   0.0   0.0   0.0   0.0  78.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 19   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  84.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 20   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0  43.8   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   3.1  18.8   0.0   3.1   0.0   0.0  18.8   6.2
 21   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0  37.5  21.9  34.4   0.0   0.0   0.0
 22   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   3.1   0.0   0.0   0.0   3.1   0.0  59.4  21.9   0.0   0.0   0.0
 23   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  21.9   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  78.1   0.0   0.0   0.0
 24   0.0   6.2   3.1   0.0   3.1   6.2   0.0   0.0   0.0   0.0   0.0   0.0   3.1   3.1   0.0   0.0   6.2   0.0   0.0   0.0   0.0   9.4   0.0  59.4   0.0   0.0
 25   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0  37.5   0.0   0.0   6.2  50.0   0.0
 26   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0  15.6   0.0   9.4  25.0   0.0   9.4   0.0   3.1   0.0   9.4   0.0   0.0   3.1   0.0   0.0   0.0   0.0  18.8
