cid  1   21 / 32 = 65.6 %
cid  2   26 / 32 = 81.2 %
cid  3   10 / 32 = 31.2 %
cid  4   23 / 32 = 71.9 %
cid  5   17 / 32 = 53.1 %
cid  6   4 / 32 = 12.5 %
cid  7   25 / 32 = 78.1 %
cid  8   11 / 32 = 34.4 %
cid  9   4 / 32 = 12.5 %
cid 10   16 / 32 = 50.0 %
cid 11   7 / 32 = 21.9 %
cid 12   12 / 32 = 37.5 %
cid 13   10 / 32 = 31.2 %
cid 14   1 / 32 = 3.1 %
cid 15   15 / 32 = 46.9 %
cid 16   5 / 32 = 15.6 %
cid 17   4 / 32 = 12.5 %
cid 18   17 / 32 = 53.1 %
cid 19   31 / 32 = 96.9 %
cid 20   19 / 32 = 59.4 %
cid 21   5 / 32 = 15.6 %
cid 22   20 / 32 = 62.5 %
cid 23   15 / 32 = 46.9 %
cid 24   17 / 32 = 53.1 %
cid 25   17 / 32 = 53.1 %
cid 26   17 / 32 = 53.1 %
Total:  369 / 832 = 44.35 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
  1  65.6   6.2   0.0   9.4   0.0   0.0   0.0   3.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   6.2   0.0   3.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0
  2   0.0  81.2   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  3   0.0   0.0  31.2   0.0   0.0   0.0  56.2   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  4   0.0  21.9   0.0  71.9   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  5   0.0   6.2   0.0   6.2  53.1   3.1  15.6   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  6  18.8   9.4   0.0   9.4   3.1  12.5   0.0   3.1   0.0   6.2   3.1   0.0   0.0   0.0   0.0   3.1   0.0  25.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0
  7   0.0   0.0   3.1   0.0   0.0   0.0  78.1   3.1   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   3.1   3.1   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0
  8   9.4   0.0   0.0  25.0   3.1   0.0   6.2  34.4   0.0   0.0   9.4   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4
  9   0.0   9.4   0.0   9.4   6.2   9.4  15.6   0.0  12.5   9.4   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0  12.5   9.4   0.0   0.0   0.0   0.0   0.0   3.1
 10   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0  50.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  37.5   3.1   0.0   0.0   0.0   0.0   3.1   0.0
