242.0 2764.0 1
242.0 2764.0 1
242.0 2775.0 1
242.0 2785.0 1
242.0 2785.0 1
242.0 2775.0 1
242.0 2764.0 1
263.0 2733.0 1
263.0 2712.0 1
273.0 2681.0 1
273.0 2660.0 1
283.0 2650.0 1
283.0 2650.0 1
231.0 2775.0 2
231.0 2785.0 2
242.0 2795.0 2
263.0 2795.0 2
263.0 2795.0 2
283.0 2795.0 2
304.0 2795.0 2
325.0 2775.0 2
335.0 2754.0 2
335.0 2743.0 2
335.0 2743.0 2
325.0 2733.0 2
315.0 2723.0 2
304.0 2723.0 2
283.0 2733.0 2
283.0 2733.0 2
283.0 2733.0 2
283.0 2733.0 2
294.0 2723.0 2
315.0 2712.0 2
335.0 2702.0 2
356.0 2691.0 2
377.0 2691.0 2
398.0 2681.0 2
408.0 2681.0 2

